"EFF_DATE","FACILITY","FAC_NAME","FACILITY_TYPE","ARTCC_OR_FSS_ID","CPDLC","TOWER_HRS","SERVICED_FACILITY","SERVICED_FAC_NAME","SERVICED_SITE_TYPE","LAT_DECIMAL","LONG_DECIMAL","SERVICED_CITY","SERVICED_STATE","SERVICED_COUNTRY","TOWER_OR_COMM_CALL","PRIMARY_APPROACH_RADIO_CALL","FREQ","SECTORIZATION","FREQ_USE","REMARK","File","Action","Mods"
"2026/04/16","4T2","KENNETH COPELAND","NON-ATCT","","","","4T2","KENNETH COPELAND","AIRPORT","32.97763172","-97.49229366","FORT WORTH","TX","US","","","123.075","","CTAF","ACTVT LIRL RWY 17/35; TWY - CTAF.","1","Modified","REMARK"
"2026/05/14","4T2","KENNETH COPELAND","NON-ATCT","","","","4T2","KENNETH COPELAND","AIRPORT","32.97763172","-97.49229366","FORT WORTH","TX","US","","","123.075","","CTAF","ACTVT LIRL RWY 17/35; TWY LTS - CTAF.","2","Modified","REMARK"
"2026/04/16","50F","BOURLAND FLD","NON-ATCT","","","","50F","BOURLAND FLD","AIRPORT","32.58183333","-97.59077777","FORT WORTH","TX","US","","","123.0","","CTAF","ACTVT MIRL RWY 17/35 - CTAF. VASI RWYS 17 & 35 OPR CONSLY.","1","Modified","REMARK"
"2026/05/14","50F","BOURLAND FLD","NON-ATCT","","","","50F","BOURLAND FLD","AIRPORT","32.58183333","-97.59077777","FORT WORTH","TX","US","","","123.0","","CTAF","ACTVT MIRL RWY 17/35 - CTAF.","2","Modified","REMARK"
"2026/04/16","53W","WOODRUFF LAKE","NON-ATCT","","","","53W","WOODRUFF LAKE","AIRPORT","43.55460277","-84.97896388","WINN","MI","US","","","122.9","","CTAF","ACTVT LIRL RWY 09/27 - CTAF (3 CLICKS OFF).","1","Modified","REMARK"
"2026/05/14","53W","WOODRUFF LAKE","NON-ATCT","","","","53W","WOODRUFF LAKE","AIRPORT","43.55460277","-84.97896388","WINN","MI","US","","","122.9","","CTAF","","2","Modified","REMARK"
"2026/04/16","54T","RWJ AIRPARK","NON-ATCT","","","","54T","RWJ AIRPARK","AIRPORT","29.76189444","-94.84793888","BAYTOWN","TX","US","","","122.7","","CTAF","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","54T","RWJ AIRPARK","NON-ATCT","","","","54T","RWJ AIRPARK","AIRPORT","29.76182361","-94.84842638","BAYTOWN","TX","US","","","122.7","","CTAF","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","54T","RWJ AIRPARK","NON-ATCT","","","","54T","RWJ AIRPARK","AIRPORT","29.76189444","-94.84793888","BAYTOWN","TX","US","","","122.7","","UNICOM","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","54T","RWJ AIRPARK","NON-ATCT","","","","54T","RWJ AIRPARK","AIRPORT","29.76182361","-94.84842638","BAYTOWN","TX","US","","","122.7","","UNICOM","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","67A","FORT DEPOSIT-LOWNDES COUNTY","NON-ATCT","","","","67A","FORT DEPOSIT-LOWNDES COUNTY","AIRPORT","31.97237083","-86.59164138","FORT DEPOSIT","AL","US","","","122.9","","CTAF","","2","Deleted",""
"2026/04/16","8J7","TOMLINSON FLD","NON-ATCT","","","","8J7","TOMLINSON FLD","AIRPORT","47.69638722","-99.13122861","NEW ROCKFORD","ND","US","","","122.9","","CTAF","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","8J7","TOMLINSON FLD","NON-ATCT","","","","8J7","TOMLINSON FLD","AIRPORT","47.6961655","-99.131486","NEW ROCKFORD","ND","US","","","122.9","","CTAF","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","9W8","BAUBLITZ COMMERCIAL","NON-ATCT","","","","9W8","BAUBLITZ COMMERCIAL","AIRPORT","39.85232361","-76.48635333","BROGUE","PA","US","","","122.9","","CTAF","","1","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/05/14","9W8","CHANCEFORD","NON-ATCT","","","","9W8","CHANCEFORD","AIRPORT","39.85232361","-76.48635333","BROGUE","PA","US","","","122.9","","CTAF","","2","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/04/16","AK15","ALPINE AIRSTRIP","NON-ATCT","","","","AK15","ALPINE AIRSTRIP","AIRPORT","70.34427777","-150.94475","NUIQSUT","AK","US","","","122.8","","CTAF","ACTVT ODALS RWY 04 & 22; MIRL RWY 04/22 - CTAF. PAPI RWY 04 & 22 BY REQ - 907-670-4005.","1","Modified","REMARK"
"2026/05/14","AK15","ALPINE AIRSTRIP","NON-ATCT","","","","AK15","ALPINE AIRSTRIP","AIRPORT","70.34427777","-150.94475","NUIQSUT","AK","US","","","122.8","","CTAF","ACTVT ODALS RWY 04 & 22; MIRL RWY 04/22 - CTAF. PAPI RWY 04 & 22 BY REQ - 907-670-4005.; ALL ARR RPT 10 MI FINAL ON CTAF.","2","Modified","REMARK"
"2026/04/16","AMW","AMES MUNI","NON-ATCT","","","","AMW","AMES MUNI","AIRPORT","41.99204361","-93.62182083","AMES","IA","US","","","122.7","","CTAF","ACTVT MALSR RWY 01; VASI RWYS 13, 19 & 31; HIRL RWY 01/19 & MIRL RWY 13/31 - CTAF.","1","Modified","REMARK"
"2026/05/14","AMW","AMES MUNI","NON-ATCT","","","","AMW","AMES MUNI","AIRPORT","41.99204361","-93.62182083","AMES","IA","US","","","122.7","","CTAF","ACTVT MALSR RWY 01; VASI RWYS 19; HIRL RWY 01/19 & MIRL RWY 13/31 - CTAF.","2","Modified","REMARK"
"2026/04/16","ASE","ASPEN-PITKIN COUNTY/SARDY FLD","ATCT-TRACON","","","0700-2000","ASE","ASPEN-PITKIN COUNTY/SARDY FLD","AIRPORT","39.22187833","-106.86823333","ASPEN","CO","US","ASPEN","ASPEN","123.75","","CD/P","","2","Deleted",""
"2026/04/16","AUM","","ASOS_AWOS","","","","AUM","","AWOS-3PT","43.66857455","-92.93112372","AUSTIN","MN","US","","","119.025","","AUM AWOS-3PT","","2","Deleted",""
"2026/04/16","AXH","HOUSTON/SOUTHWEST","NON-ATCT","","","","AXH","HOUSTON/SOUTHWEST","AIRPORT","29.50613888","-95.47691666","HOUSTON","TX","US","","","123.0","","CTAF","MIRL RWY 09/27 PRESET LOW INTST DUSK-DAWN, TO INCR INTST & ACTVT REIL RWY 09 & 27- CTAF. ","1","Modified","REMARK"
"2026/05/14","AXH","HOUSTON/SOUTHWEST","NON-ATCT","","","","AXH","HOUSTON/SOUTHWEST","AIRPORT","29.50613888","-95.47691666","HOUSTON","TX","US","","","123.0","","CTAF","MIRL RWY 09/27 PRESET LOW INTST SS-SR. TO INCR INTST & ACTVT REIL RWY 09 & 27- CTAF.","2","Modified","REMARK"
"2026/04/16","AZO","KALAMAZOO/BATTLE CREEK INTL","ATCT-TRACON","","","0600-2300","AZO","KALAMAZOO/BATTLE CREEK INTL","AIRPORT","42.23438888","-85.55155555","KALAMAZOO","MI","US","KALAMAZOO","GREAT LAKES","119.2","354-174","APCH/P DEP/P","","2","Deleted",""
"2026/04/16","AZO","KALAMAZOO/BATTLE CREEK INTL","ATCT-TRACON","","","0600-2300","AZO","KALAMAZOO/BATTLE CREEK INTL","AIRPORT","42.23438888","-85.55155555","KALAMAZOO","MI","US","KALAMAZOO","GREAT LAKES","119.2","354-174","TRSA","","2","Deleted",""
"2026/04/16","AZO","KALAMAZOO/BATTLE CREEK INTL","ATCT-TRACON","","","0600-2300","AZO","KALAMAZOO/BATTLE CREEK INTL","AIRPORT","42.23438888","-85.55155555","KALAMAZOO","MI","US","KALAMAZOO","GREAT LAKES","121.2","175-353","APCH/P DEP/P IC","","2","Deleted",""
"2026/04/16","AZO","KALAMAZOO/BATTLE CREEK INTL","ATCT-TRACON","","","0600-2300","AZO","KALAMAZOO/BATTLE CREEK INTL","AIRPORT","42.23438888","-85.55155555","KALAMAZOO","MI","US","KALAMAZOO","GREAT LAKES","121.2","175-353","TRSA","","2","Deleted",""
"2026/04/16","AZO","KALAMAZOO/BATTLE CREEK INTL","ATCT-TRACON","","","","BTL","BATTLE CREEK EXEC AT KELLOGG FLD","AIRPORT","42.30647388","-85.25008944","BATTLE CREEK","MI","US","BATTLE CREEK","GREAT LAKES","119.2","","APCH/P DEP/P","","2","Deleted",""
"2026/04/16","AZO","KALAMAZOO/BATTLE CREEK INTL","ATCT-TRACON","","","","RMY","BROOKS FLD","AIRPORT","42.25119316","-84.9554443","MARSHALL","MI","US","","GREAT LAKES","119.2","","APCH/P DEP/P","","2","Deleted",""
"2026/04/16","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082166","-93.74383527","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","119.9","153-319","APCH/P DEP/P","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082194","-93.74383583","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","119.9","153-319","APCH/P DEP/P","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082166","-93.74383527","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","119.9","WHEN TWR CLSD","CD/P","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082194","-93.74383583","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","119.9","WHEN TWR CLSD","CD/P","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082166","-93.74383527","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","123.75","320-152","APCH/P DEP/P","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082194","-93.74383583","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","123.75","320-152","APCH/P DEP/P","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082166","-93.74383527","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","335.55","153-319","APCH/P DEP/P","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082194","-93.74383583","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","335.55","153-319","APCH/P DEP/P","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082166","-93.74383527","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","360.725","320-152","APCH/P DEP/P","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","BAD","BARKSDALE AFB","ATCT-RAPCON","","","","DTN","SHREVEPORT DOWNTOWN","AIRPORT","32.54082194","-93.74383583","SHREVEPORT","LA","US","DOWNTOWN","SHREVEPORT","360.725","320-152","APCH/P DEP/P","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","BAF","WESTFIELD-BARNES RGNL","ATCT","","","","BAF","WESTFIELD-BARNES RGNL","AIRPORT","42.15794444","-72.71586111","WESTFIELD/SPRINGFIELD","MA","US","","","125.075","","CTAF","DUSK-DAWN; WHEN ATCT CLSD ACTVT MALSR RWY 20; PAPI RWY 15; HIRL RWY 02/20; MIRL RWY 15/33 - CTAF. PAPI RWY 33 OPR CONSLY.","1","Modified","REMARK"
"2026/05/14","BAF","WESTFIELD-BARNES RGNL","ATCT","","","","BAF","WESTFIELD-BARNES RGNL","AIRPORT","42.15794444","-72.71586111","WESTFIELD/SPRINGFIELD","MA","US","","","125.075","","CTAF","WHEN ATCT CLSD ACTVT MALSR RWY 20; REIL RWY 02; PAPI RWY 15; HIRL RWY 02/20; MIRL RWY 15/33 - CTAF. PAPI RWY 33 -  CONSLY.","2","Modified","REMARK"
"2026/04/16","BNA","NASHVILLE INTL","ATCT-TRACON","","","","MQY","SMYRNA","AIRPORT","36.00897027","-86.52008972","SMYRNA","TN","US","SMYRNA","NASHVILLE","121.7"," WHEN TWR CLSD","CD/P","","2","Deleted",""
"2026/04/16","BOZEMAN","BOZEMAN","RCAG","ZLC","","","RVF","RUBY VALLEY FLD","AIRPORT","45.53541666","-112.30227777","TWIN BRIDGES","MT","US","","SALT LAKE ARTCC","132.4","LOW/HIGH","BOZEMAN RCAG","APCH/DEP CTL SVC PRVDD BY SALT LAKE ARTCC (ZLC) ON 132.4/338.3 (BOZEMAN RCAG).","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","BOZEMAN","BOZEMAN","RCAG","ZLC","","","RVF","RUBY VALLEY FLD","AIRPORT","45.53540611","-112.30229083","TWIN BRIDGES","MT","US","","SALT LAKE ARTCC","132.4","LOW/HIGH","BOZEMAN RCAG","APCH/DEP CTL SVC PRVDD BY SALT LAKE ARTCC (ZLC) ON 132.4/338.3 (BOZEMAN RCAG).","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","BOZEMAN","BOZEMAN","RCAG","ZLC","","","RVF","RUBY VALLEY FLD","AIRPORT","45.53541666","-112.30227777","TWIN BRIDGES","MT","US","","SALT LAKE ARTCC","338.3","LOW/HIGH","BOZEMAN RCAG","APCH/DEP CTL SVC PRVDD BY SALT LAKE ARTCC (ZLC) ON 132.4/338.3 (BOZEMAN RCAG).","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","BOZEMAN","BOZEMAN","RCAG","ZLC","","","RVF","RUBY VALLEY FLD","AIRPORT","45.53540611","-112.30229083","TWIN BRIDGES","MT","US","","SALT LAKE ARTCC","338.3","LOW/HIGH","BOZEMAN RCAG","APCH/DEP CTL SVC PRVDD BY SALT LAKE ARTCC (ZLC) ON 132.4/338.3 (BOZEMAN RCAG).","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","BTY","BEATTY","NON-ATCT","","","","BTY","BEATTY","AIRPORT","36.86113305","-116.78639944","BEATTY","NV","US","","","122.9","","CTAF","ACTVT MIRL RWY 16/34 - CTAF.","1","Modified","REMARK"
"2026/05/14","BTY","BEATTY","NON-ATCT","","","","BTY","BEATTY","AIRPORT","36.86113305","-116.78639944","BEATTY","NV","US","","","122.9","","CTAF","ACTVT MIRL RWY 17/35 - CTAF.","2","Modified","REMARK"
"2026/04/16","BVX","BATESVILLE RGNL","NON-ATCT","","","","BVX","BATESVILLE RGNL","AIRPORT","35.72622222","-91.64744444","BATESVILLE","AR","US","","","122.8","","CTAF","ACTVT REIL RWYS 08 & 26 AND MIRL RWY 08/26 - CTAF.","1","Modified","REMARK"
"2026/05/14","BVX","BATESVILLE RGNL","NON-ATCT","","","","BVX","BATESVILLE RGNL","AIRPORT","35.72622222","-91.64744444","BATESVILLE","AR","US","","","122.8","","CTAF","ACTVT REIL RWYS 08, 26; MIRL RWY 08/26 - CTAF.","2","Modified","REMARK"
"2026/04/16","CCV","CAPE CHARLES","NAVAID","","","","CCV","CAPE CHARLES","VORTAC","37.34753888","-75.99765277","CAPE CHARLES","VA","US","","","112.2/59X","","CCV VORTAC","","2","Deleted",""
"2026/04/16","CCY","NORTHEAST IOWA RGNL","NON-ATCT","","","","CCY","NORTHEAST IOWA RGNL","AIRPORT","43.07250375","-92.61080919","CHARLES CITY","IA","US","","","122.8","","CTAF","DUSK-DAWN. ACTVT REIL RWYS 12 & 30, PAPI RWY 12 & 30, MIRL RWY 12/30 - CTAF.","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","CCY","NORTHEAST IOWA RGNL","NON-ATCT","","","","CCY","NORTHEAST IOWA RGNL","AIRPORT","43.07305833","-92.61044638","CHARLES CITY","IA","US","","","122.8","","CTAF","DUSK-DAWN. ACTVT REIL RWYS 12 & 30, PAPI RWY 12 & 30, MIRL RWY 12/30 - CTAF.","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","CCY","NORTHEAST IOWA RGNL","NON-ATCT","","","","CCY","NORTHEAST IOWA RGNL","AIRPORT","43.07250375","-92.61080919","CHARLES CITY","IA","US","","","122.8","","UNICOM","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","CCY","NORTHEAST IOWA RGNL","NON-ATCT","","","","CCY","NORTHEAST IOWA RGNL","AIRPORT","43.07305833","-92.61044638","CHARLES CITY","IA","US","","","122.8","","UNICOM","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","CDD","","ASOS_AWOS","","","","CDD","","AWOS-3","48.26657166","-92.48349111","CRANE LAKE","MN","US","","","118.2","","CDD AWOS-3","","2","Deleted",""
"2026/04/16","CFD","COULTER FLD","NON-ATCT","","","","CFD","COULTER FLD","AIRPORT","30.71569444","-96.33136111","BRYAN","TX","US","","","123.0","","CTAF","DUSK-DAWN. MIRL RWY 15/33 PRESET LOW INTST; TO INCR INTST - CTAF.","1","Modified","REMARK"
"2026/05/14","CFD","COULTER FLD","NON-ATCT","","","","CFD","COULTER FLD","AIRPORT","30.71569444","-96.33136111","BRYAN","TX","US","","","123.0","","CTAF","SR-SS MIRL RWY 15/33 PRESET LOW INTST; TO ACTVT OR INCR INTST - CTAF.","2","Modified","REMARK"
"2026/04/16","CFJ","CRAWFORDSVILLE RGNL","NON-ATCT","","","","CFJ","CRAWFORDSVILLE RGNL","AIRPORT","39.974625","-86.921075","CRAWFORDSVILLE","IN","US","","","122.8","","CTAF","ACTVT REIL RWY 04 & 22 - CTAF. MIRL RWY 04/22 PRESET TO LOW INTST;  INCR INTST - CTAF.","1","Modified","REMARK"
"2026/05/14","CFJ","CRAWFORDSVILLE RGNL","NON-ATCT","","","","CFJ","CRAWFORDSVILLE RGNL","AIRPORT","39.974625","-86.921075","CRAWFORDSVILLE","IN","US","","","122.8","","CTAF","ACTVT REIL RWY 05 & 23 - CTAF. MIRL RWY 05/23 PRESET TO LOW INTST;  INCR INTST - CTAF.","2","Modified","REMARK"
"2026/04/16","CFK","CHEFORNAK","NON-ATCT","","","","CFK","CHEFORNAK","AIRPORT","60.13680555","-164.27905555","CHEFORNAK","AK","US","","","122.7","","CTAF","ACTIVATE BEACON - CTAF.; ACTIVATE MIRL RY 16/34 - CTAF.; PILOTS ARE ADVISED TO SELF-ANNOUNCE ON CTAF PRIOR TO LANDING, 10 NM ON APPROACH.","1","Modified","LAT_DECIMAL LONG_DECIMAL REMARK"
"2026/05/14","CFK","CHEFORNAK","NON-ATCT","","","","CFK","CHEFORNAK","AIRPORT","60.13679638","-164.27904861","CHEFORNAK","AK","US","","","122.7","","CTAF","ACTVT BEACON - CTAF.; ACTVT MIRL RWY 16/34 - CTAF.; ANNOUNCE ON CTAF 10 NM ON APCH & BFR LNDG.","2","Modified","LAT_DECIMAL LONG_DECIMAL REMARK"
"2026/04/16","CLT","CHARLOTTE/DOUGLAS INTL","ATCT-TRACON","","CPDLC (LOGON KUSA)","24","CLT","CHARLOTTE/DOUGLAS INTL","AIRPORT","35.21318694","-80.95137916","CHARLOTTE","NC","US","CHARLOTTE","CHARLOTTE","120.05","FLYYN, CEGAL TRANSITIONS, 18L, 18C, 18R","KNIGHTS DP","","2","Deleted",""
"2026/04/16","CLT","CHARLOTTE/DOUGLAS INTL","ATCT-TRACON","","CPDLC (LOGON KUSA)","24","CLT","CHARLOTTE/DOUGLAS INTL","AIRPORT","35.21318694","-80.95137916","CHARLOTTE","NC","US","CHARLOTTE","CHARLOTTE","120.5","RWY 36L, 36C","BEAVY DP","","2","Deleted",""
"2026/04/16","CLT","CHARLOTTE/DOUGLAS INTL","ATCT-TRACON","","CPDLC (LOGON KUSA)","24","CLT","CHARLOTTE/DOUGLAS INTL","AIRPORT","35.21318694","-80.95137916","CHARLOTTE","NC","US","CHARLOTTE","CHARLOTTE","120.5","HARAY & PITTY TRANSITIONS. RWY 36L, 36C","CHARLOTTE DP","","2","Deleted",""
"2026/04/16","CLT","CHARLOTTE/DOUGLAS INTL","ATCT-TRACON","","CPDLC (LOGON KUSA)","24","CLT","CHARLOTTE/DOUGLAS INTL","AIRPORT","35.21318694","-80.95137916","CHARLOTTE","NC","US","CHARLOTTE","CHARLOTTE","120.5","RWY 36L, 36C","ICONS DP","","2","Deleted",""
"2026/04/16","CLT","CHARLOTTE/DOUGLAS INTL","ATCT-TRACON","","CPDLC (LOGON KUSA)","24","CLT","CHARLOTTE/DOUGLAS INTL","AIRPORT","35.21318694","-80.95137916","CHARLOTTE","NC","US","CHARLOTTE","CHARLOTTE","120.5","FLYYN, CEGAL TRANSITIONS RWY 36L, 36C, 36R","KNIGHTS DP","","2","Deleted",""
