"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","REGION_CODE","ADO_CODE","STATE_NAME","COUNTY_NAME","COUNTY_ASSOC_STATE","ARPT_NAME","OWNERSHIP_TYPE_CODE","FACILITY_USE_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_METHOD_CODE","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","TPA","CHART_NAME","DIST_CITY_TO_AIRPORT","DIRECTION_CODE","ACREAGE","RESP_ARTCC_ID","COMPUTER_ID","ARTCC_NAME","FSS_ON_ARPT_FLAG","FSS_ID","FSS_NAME","PHONE_NO","TOLL_FREE_NO","ALT_FSS_ID","ALT_FSS_NAME","ALT_TOLL_FREE_NO","NOTAM_ID","NOTAM_FLAG","ACTIVATION_DATE","ARPT_STATUS","FAR_139_TYPE_CODE","FAR_139_CARRIER_SER_CODE","ARFF_CERT_TYPE_DATE","NASP_CODE","ASP_ANLYS_DTRM_CODE","CUST_FLAG","LNDG_RIGHTS_FLAG","JOINT_USE_FLAG","MIL_LNDG_FLAG","INSPECT_METHOD_CODE","INSPECTOR_CODE","LAST_INSPECTION","LAST_INFO_RESPONSE","FUEL_TYPES","AIRFRAME_REPAIR_SER_CODE","PWR_PLANT_REPAIR_SER","BOTTLED_OXY_TYPE","BULK_OXY_TYPE","LGT_SKED","BCN_LGT_SKED","TWR_TYPE_CODE","SEG_CIRCLE_MKR_FLAG","BCN_LENS_COLOR","LNDG_FEE_FLAG","MEDICAL_USE_FLAG","ARPT_PSN_SOURCE","POSITION_SRC_DATE","ARPT_ELEV_SOURCE","ELEVATION_SRC_DATE","CONTR_FUEL_AVBL","TRNS_STRG_BUOY_FLAG","TRNS_STRG_HGR_FLAG","TRNS_STRG_TIE_FLAG","OTHER_SERVICES","WIND_INDCR_FLAG","ICAO_ID","MIN_OP_NETWORK","USER_FEE_FLAG","CTA","File","Action","Mods"
"2026/04/16","27870.1","A","WY","WY36","POWELL","US","ANM","DEN","WYOMING","PARK","WY","BAKERS FLD","PR","PR","44","47","24.826","N","44.79022944","108","44","3.466","W","-108.73429611","E","4350","E","14","E","1985","","BILLINGS","3","NE","","ZLC","ZCU","SALT LAKE CITY","N","CPR","CASPER","","1-800-WX-BRIEF","","","","","N","1975/03","CI","","","","","NOT ANALYZED","","","","","2","N","","1994/05/09","","","","","","","","NON-ATCT","N","","N","","","","","","","","","","","Y","","N","","","2","Deleted",""
"2026/04/16","27896.6","A","WY","WY39","THAYNE","US","ANM","DEN","WYOMING","LINCOLN","WY","STAR VALLEY RANCH","PR","PR","42","58","9.721","N","42.96936694","110","57","56.754","W","-110.965765","E","6210","S","15","E","1985","","SALT LAKE CITY","3","NE","","ZLC","ZCU","SALT LAKE CITY","N","CPR","CASPER","","1-800-WX-BRIEF","","","","","N","1971/09","CI","","","","","NOT ANALYZED","","","N","N","2","N","","2022/02/01","","NONE","NONE","","","","","NON-ATCT","N","","N","","","","","","","","","","","Y","","N","","","2","Deleted",""
"2026/04/16","50033.4","A","AK","AK12","ANCHORAGE","US","AAL","","ALASKA","ANCHORAGE","AK","FLYING CROWN","PR","PR","61","6","23.76","N","61.1066","149","51","51.37","W","-149.86426944","E","150","E","25","E","1985","","ANCHORAGE","6","S","6","ZAN","ZAN","ANCHORAGE","","ENA","KENAI","907-283-7211","1-866-864-1737","","","","","N","1990/03","O","","","","","NOT ANALYZED","","","","","2","N","","2022/08/29","","","","","","","","NON-ATCT","N","","","","ADO","2002/04/25","OWNER","2011/08/23","","","","","","Y","","N","","","1","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE ARPT_ELEV_SOURCE"
"2026/05/14","50033.4","A","AK","AK12","ANCHORAGE","US","AAL","","ALASKA","ANCHORAGE","AK","FLYING CROWN","PR","PR","61","6","23.76","N","61.1066","149","51","51.37","W","-149.86426944","E","150","E","","","","","ANCHORAGE","6","S","6","ZAN","ZAN","ANCHORAGE","","ENA","KENAI","907-283-7211","1-866-864-1737","","","","","N","1990/03","O","","","","","NOT ANALYZED","","","","","2","N","","2026/04/08","","","","","","","","NON-ATCT","N","","","","ADO","2002/04/25","ADO","2011/08/23","","","","","","Y","","N","","","2","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE ARPT_ELEV_SOURCE"
"2026/04/16","50036.1","A","AK","9AK5","ANCHORAGE","US","AAL","","ALASKA","ANCHORAGE","AK","SKY HARBOR","PR","PR","61","6","59.33","N","61.11648055","149","49","7.57","W","-149.81876944","E","340","E","25","E","1985","","ANCHORAGE","7","SE","","ZAN","ZAN","ANCHORAGE","N","ENA","KENAI","907-283-7211","1-866-864-1737","","","","","N","1962/06","O","","","","","NO OBJECTION","N","N","N","N","2","N","1979/05/29","2020/05/05","","","","","","","","NON-ATCT","N","","N","","REGION","2002/08/15","","","","","","","CARGO","Y","","N","","","1","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE"
"2026/05/14","50036.1","A","AK","9AK5","ANCHORAGE","US","AAL","","ALASKA","ANCHORAGE","AK","SKY HARBOR","PR","PR","61","6","59.33","N","61.11648055","149","49","7.57","W","-149.81876944","E","340","E","","","","","ANCHORAGE","7","SE","","ZAN","ZAN","ANCHORAGE","N","ENA","KENAI","907-283-7211","1-866-864-1737","","","","","N","1962/06","O","","","","","NO OBJECTION","N","N","N","N","2","N","1979/05/29","2026/04/02","","","","","","","","NON-ATCT","N","","N","","REGION","2002/08/15","","","","","","","CARGO","Y","","N","","","2","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE"
"2026/04/16","50039.","A","AK","ANN","ANNETTE","US","AAL","","ALASKA","KETCHIKAN GATEWAY","AK","ANNETTE ISLAND","PR","PR","55","2","32.2569","N","55.04229358","131","34","15.2377","W","-131.57089936","E","119","S","26","E","1985","","KETCHIKAN","0","N","","ZAN","ZAN","ANCHORAGE","N","KTN","KETCHIKAN","907-225-9481","LC225-9481","JNU","JUNEAU","1-866-297-2236","ANN","N","1947/10","O","","","","","NO OBJECTION","N","N","N","Y","2","F","1990/01/16","2020/04/15","","","","NONE","NONE","","","NON-ATCT","N","","N","","FAA-EST","2012/08/16","","","","","Y","","","","PANT","N","","","1","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE BOTTLED_OXY_TYPE BULK_OXY_TYPE"
"2026/05/14","50039.","A","AK","ANN","ANNETTE","US","AAL","","ALASKA","KETCHIKAN GATEWAY","AK","ANNETTE ISLAND","PR","PR","55","2","32.2569","N","55.04229358","131","34","15.2377","W","-131.57089936","E","119","S","","","","","KETCHIKAN","0","N","","ZAN","ZAN","ANCHORAGE","N","KTN","KETCHIKAN","907-225-9481","LC225-9481","JNU","JUNEAU","1-866-297-2236","ANN","N","1947/10","O","","","","","NO OBJECTION","N","N","N","Y","2","F","1990/01/16","2026/03/26","","","","","","","","NON-ATCT","N","","N","","FAA-EST","2012/08/16","","","","","Y","","","","PANT","N","","","2","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE BOTTLED_OXY_TYPE BULK_OXY_TYPE"
"2026/04/16","50068.53","C","AK","86AK","BIG LAKE","US","AAL","","ALASKA","MATANUSKA-SUSITNA","AK","HOPPES","PR","PR","61","32","49.7101","N","61.54714169","149","56","45.5165","W","-149.9459768","E","164.7","E","","","","","ANCHORAGE","3","E","","ZAN","ZAN","ANCHORAGE","","ENA","KENAI","907-283-7211","1-866-864-1737","","","","","","2007/05","O","","","","","NO OBJECTION","","","","","2","N","","2021/12/26","","","","","","","","NON-ATCT","","","","","ADO","2024/08/29","ADO","2024/08/29","","","","","","","","N","","","1","Modified","LAST_INFO_RESPONSE"
"2026/05/14","50068.53","C","AK","86AK","BIG LAKE","US","AAL","","ALASKA","MATANUSKA-SUSITNA","AK","HOPPES","PR","PR","61","32","49.7101","N","61.54714169","149","56","45.5165","W","-149.9459768","E","164.7","E","","","","","ANCHORAGE","3","E","","ZAN","ZAN","ANCHORAGE","","ENA","KENAI","907-283-7211","1-866-864-1737","","","","","","2007/05","O","","","","","NO OBJECTION","","","","","2","N","","2026/03/16","","","","","","","","NON-ATCT","","","","","ADO","2024/08/29","ADO","2024/08/29","","","","","","","","N","","","2","Modified","LAST_INFO_RESPONSE"
"2026/04/16","50090.","A","AK","CEM","CENTRAL","US","AAL","","ALASKA","YUKON-KOYUKUK","AK","CENTRAL","PU","PU","65","34","26.2","N","65.57394444","144","46","51.2","W","-144.78088888","E","936.8","S","20","E","2015","","DAWSON","0","NNE","97","ZAN","ZAN","ANCHORAGE","","FAI","FAIRBANKS","907-474-0788","1-866-248-6516","","","","FAI","Y","1947/09","O","","","","N","NO OBJECTION","","","","Y","C","F","2026/01/15","1990/09/18","","","","","","SEE RMK","SS-SR","NON-ATCT","Y","WG","","","NGS","2007/07/20","NGS","2007/07/20","","","","Y","","Y-L","PACE","N","","","1","Modified","LAST_INSPECTION"
"2026/05/14","50090.","A","AK","CEM","CENTRAL","US","AAL","","ALASKA","YUKON-KOYUKUK","AK","CENTRAL","PU","PU","65","34","26.2","N","65.57394444","144","46","51.2","W","-144.78088888","E","936.8","S","20","E","2015","","DAWSON","0","NNE","97","ZAN","ZAN","ANCHORAGE","","FAI","FAIRBANKS","907-474-0788","1-866-248-6516","","","","FAI","Y","1947/09","O","","","","N","NO OBJECTION","","","","Y","C","F","2025/08/13","1990/09/18","","","","","","SEE RMK","SS-SR","NON-ATCT","Y","WG","","","NGS","2007/07/20","NGS","2007/07/20","","","","Y","","Y-L","PACE","N","","","2","Modified","LAST_INSPECTION"
"2026/04/16","50095.12","A","AK","CFK","CHEFORNAK","US","AAL","","ALASKA","BETHEL","AK","CHEFORNAK","PU","PU","60","8","12.5","N","60.13680555","164","16","44.6","W","-164.27905555","E","54.1","S","17","E","1985","","BETHEL","1","S","","ZAN","ZAN","ANCHORAGE","","ENA","KENAI","907-283-7211","1-866-864-1737","","","","ENA","Y","1974/06","O","","","","N","","","","","Y","S","C","2023/06/06","","","","","","","SEE RMK","SEE RMK","NON-ATCT","Y","WG","","","3RD PARTY SURVEY","2015/07/14","3RD PARTY SURVEY","2015/07/14","","","","","","Y-L","PACK","N","","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV MAG_VARN MAG_HEMIS MAG_VARN_YEAR POSITION_SRC_DATE ELEVATION_SRC_DATE"
"2026/05/14","50095.12","A","AK","CFK","CHEFORNAK","US","AAL","","ALASKA","BETHEL","AK","CHEFORNAK","PU","PU","60","8","12.467","N","60.13679638","164","16","44.575","W","-164.27904861","E","53.9","S","","","","","BETHEL","1","S","","ZAN","ZAN","ANCHORAGE","","ENA","KENAI","907-283-7211","1-866-864-1737","","","","ENA","Y","1974/06","O","","","","N","","","","","Y","S","C","2023/06/06","","","","","","","SEE RMK","SEE RMK","NON-ATCT","Y","WG","","","3RD PARTY SURVEY","2025/06/19","3RD PARTY SURVEY","2025/06/19","","","","","","Y-L","PACK","N","","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV MAG_VARN MAG_HEMIS MAG_VARN_YEAR POSITION_SRC_DATE ELEVATION_SRC_DATE"
"2026/04/16","50097.","A","AK","CKX","CHICKEN","US","AAL","","ALASKA","SOUTHEAST FAIRBANKS","AK","CHICKEN","PU","PU","64","4","0.305","N","64.06675138","141","57","4.85","W","-141.95134722","E","1640","E","30","E","1985","","DAWSON","0","SW","68","ZAN","ZAN","ANCHORAGE","N","ORT","NORTHWAY","907-778-2219","1-800-478-6611","FAI","FAIRBANKS","1-866-248-6516","ORT","Y","1949/11","O","","","","NGY","NO OBJECTION","N","N","N","N","C","C","2025/07/05","","MOGAS","","","","","","","NON-ATCT","Y","","N","","FAA-EST","2014/04/02","ADO","2014/03/11","","","","Y","","Y","PCKX","N","","","1","Modified","ICAO_ID"
"2026/05/14","50097.","A","AK","CKX","CHICKEN","US","AAL","","ALASKA","SOUTHEAST FAIRBANKS","AK","CHICKEN","PU","PU","64","4","0.305","N","64.06675138","141","57","4.85","W","-141.95134722","E","1640","E","30","E","1985","","DAWSON","0","SW","68","ZAN","ZAN","ANCHORAGE","N","ORT","NORTHWAY","907-778-2219","1-800-478-6611","FAI","FAIRBANKS","1-866-248-6516","ORT","Y","1949/11","O","","","","NGY","NO OBJECTION","N","N","N","N","C","C","2025/07/05","","MOGAS","","","","","","","NON-ATCT","Y","","N","","FAA-EST","2014/04/02","ADO","2014/03/11","","","","Y","","Y","PAAY","N","","","2","Modified","ICAO_ID"
"2026/04/16","50103.","A","AK","CXC","CHITINA","US","AAL","","ALASKA","VALDEZ-CORDOVA","AK","CHITINA","PU","PU","61","34","59.53","N","61.58320277","144","25","47.29","W","-144.42980277","E","556","S","27","E","1985","","ANCHORAGE","4","N","","ZAN","ZAN","ANCHORAGE","N","ENA","KENAI","907-283-7211","1-866-864-1737","","","","ENA","Y","1962/07","O","","","","NS1","NO OBJECTION","N","N","N","Y","S","C","2025/08/06","","","","","","","","","NON-ATCT","Y","","N","","FAA OE/AAA","2014/06/16","NACO","1995/06/06","","","","Y","","Y","PCXC","N","","","1","Modified","ICAO_ID"
"2026/05/14","50103.","A","AK","CXC","CHITINA","US","AAL","","ALASKA","VALDEZ-CORDOVA","AK","CHITINA","PU","PU","61","34","59.53","N","61.58320277","144","25","47.29","W","-144.42980277","E","556","S","27","E","1985","","ANCHORAGE","4","N","","ZAN","ZAN","ANCHORAGE","N","ENA","KENAI","907-283-7211","1-866-864-1737","","","","ENA","Y","1962/07","O","","","","NS1","NO OBJECTION","N","N","N","Y","S","C","2025/08/06","","","","","","","","","NON-ATCT","Y","","N","","FAA OE/AAA","2014/06/16","NACO","1995/06/06","","","","Y","","Y","PAAX","N","","","2","Modified","ICAO_ID"
"2026/04/16","50130.1","H","AK","1AK0","CRAIG","US","AAL","","ALASKA","PRINCE OF WALES","AK","CRAIG CG","CG","PR","55","28","30.793","N","55.47522027","133","8","45.083","W","-133.14585638","E","20","E","26","E","1985","","KETCHIKAN","0","E","","ZAN","ZAN","ANCHORAGE","N","KTN","KETCHIKAN","907-225-9481","LC225-9481","JNU","JUNEAU","1-866-297-2236","KTN","N","1967/05","O","","","","","","N","N","N","N","2","F","1978/05/08","1992/01/14","","NONE","NONE","NONE","NONE","","","NON-ATCT","N","","N","","","","","","","","","","","Y","","N","","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL MAG_VARN MAG_HEMIS MAG_VARN_YEAR AIRFRAME_REPAIR_SER_CODE PWR_PLANT_REPAIR_SER BOTTLED_OXY_TYPE BULK_OXY_TYPE ARPT_PSN_SOURCE POSITION_SRC_DATE ARPT_ELEV_SOURCE ELEVATION_SRC_DATE"
"2026/05/14","50130.1","H","AK","1AK0","CRAIG","US","AAL","","ALASKA","PRINCE OF WALES","AK","CRAIG CG","CG","PR","55","28","14.61","N","55.470725","133","8","29.27","W","-133.14146388","E","20","E","","","","","KETCHIKAN","0","E","","ZAN","ZAN","ANCHORAGE","N","KTN","KETCHIKAN","907-225-9481","LC225-9481","JNU","JUNEAU","1-866-297-2236","KTN","N","1967/05","O","","","","","","N","N","N","N","2","F","1978/05/08","1992/01/14","","","","","","","","NON-ATCT","N","","N","","MILITARY","2026/03/31","MILITARY","2026/03/31","","","","","","Y","","N","","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL MAG_VARN MAG_HEMIS MAG_VARN_YEAR AIRFRAME_REPAIR_SER_CODE PWR_PLANT_REPAIR_SER BOTTLED_OXY_TYPE BULK_OXY_TYPE ARPT_PSN_SOURCE POSITION_SRC_DATE ARPT_ELEV_SOURCE ELEVATION_SRC_DATE"
"2026/04/16","50140.72","A","AK","AK15","NUIQSUT","US","AAL","","ALASKA","NORTH SLOPE","AK","ALPINE AIRSTRIP","PR","PR","70","20","39.4","N","70.34427777","150","56","41.1","W","-150.94475","E","21.4","S","14","E","2025","","POINT BARROW","8","N","","ZAN","ZAN","ANCHORAGE","","SCC","DEADHORSE","907-659-2401","LC659-2401","FAI","FAIRBANKS","1-866-248-6516","FDC","","2000/02","O","","","","","","","","","","2","N","2000/02/01","2026/03/03","","","","","","SEE RMK","","NON-ATCT","N","","","","3RD PARTY SURVEY","2011/01/01","3RD PARTY SURVEY","2011/01/01","","","","","","Y-L","PALP","N","","-33C","1","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE"
"2026/05/14","50140.72","A","AK","AK15","NUIQSUT","US","AAL","","ALASKA","NORTH SLOPE","AK","ALPINE AIRSTRIP","PR","PR","70","20","39.4","N","70.34427777","150","56","41.1","W","-150.94475","E","21.4","S","","","","","POINT BARROW","8","N","","ZAN","ZAN","ANCHORAGE","","SCC","DEADHORSE","907-659-2401","LC659-2401","FAI","FAIRBANKS","1-866-248-6516","FDC","","2000/02","O","","","","","","","","","","2","N","2000/02/01","2026/04/06","","","","","","SEE RMK","","NON-ATCT","N","","","","3RD PARTY SURVEY","2011/01/01","3RD PARTY SURVEY","2011/01/01","","","","","","Y-L","PALP","N","","-33C","2","Modified","MAG_VARN MAG_HEMIS MAG_VARN_YEAR LAST_INFO_RESPONSE"
"2026/04/16","50182.","A","AK","KEK","EKWOK","US","AAL","","ALASKA","DILLINGHAM","AK","EKWOK","PU","PU","59","21","24.62","N","59.35683888","157","28","16.102","W","-157.47113944","E","141","S","17","E","2005","","KODIAK","0","NNW","148","ZAN","ZAN","ANCHORAGE","N","DLG","DILLINGHAM","907-842-5275","LC842-5275","ENA","KENAI","1-866-864-1737","DLG","Y","1960/10","O","","","","NGY","NO OBJECTION","N","N","N","Y","S","C","2024/06/24","","","","","","","SEE RMK","SEE RMK","NON-ATCT","Y","WG","N","","FAA","2020/10/16","3RD PARTY SURVEY","2013/07/01","","","","Y","","Y-L","PKEK","N","","","1","Modified","ICAO_ID"
"2026/05/14","50182.","A","AK","KEK","EKWOK","US","AAL","","ALASKA","DILLINGHAM","AK","EKWOK","PU","PU","59","21","24.62","N","59.35683888","157","28","16.102","W","-157.47113944","E","141","S","17","E","2005","","KODIAK","0","NNW","148","ZAN","ZAN","ANCHORAGE","N","DLG","DILLINGHAM","907-842-5275","LC842-5275","ENA","KENAI","1-866-864-1737","DLG","Y","1960/10","O","","","","NGY","NO OBJECTION","N","N","N","Y","S","C","2024/06/24","","","","","","","SEE RMK","SEE RMK","NON-ATCT","Y","WG","N","","FAA","2020/10/16","3RD PARTY SURVEY","2013/07/01","","","","Y","","Y-L","PAAV","N","","","2","Modified","ICAO_ID"
