"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","SOP_SEQ_NO","SOP_TEXT","File","Action","Mods"
"2026/05/14","IR","055","ZMA","5","ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","IR","056","ZMA","5","(1)  VISUAL ROAD RECONNAISSANCE (RC) OR PHOTO RECONNAISSANCE","1","Modified","SOP_TEXT"
"2026/05/14","IR","056","ZMA","5","VISUAL ROAD RECONNAISSANCE (RC) OR PHOTO RECONNAISSANCE","2","Modified","SOP_TEXT"
"2026/03/19","IR","123","ZFW ZHU","80","POINT G. CALL THE 560 FTS AT RANDOLPH AFB, TX DSN","1","Modified","SOP_TEXT"
"2026/05/14","IR","123","ZFW ZHU","80","POINT G. CALL THE 435 FTS AT JBSA-RANDOLPH AFB, TX DSN","2","Modified","SOP_TEXT"
"2026/03/19","IR","123","ZFW ZHU","85","487-3518/3942, C210-652-3518 TO DECONFLICT;","1","Modified","SOP_TEXT"
"2026/05/14","IR","123","ZFW ZHU","85","487-3518, C210-652-3518 TO DECONFLICT;","2","Modified","SOP_TEXT"
"2026/03/19","IR","123","ZFW ZHU","115","(4)   UNITS REQUESTING IR-123 SHALL FURNISH 560 FTS WITH","1","Modified","SOP_TEXT"
"2026/05/14","IR","123","ZFW ZHU","115","(4)   UNITS REQUESTING IR-123 SHALL FURNISH 435 FTS WITH","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","5","(1)   ALTERNATE ENTRY: B.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","5","(2) ALTERNATE ENTRY: B.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","10","(2)   AVOID IMMOKALEE, CLEWISTON, PALM BEACH COUNTY, GLADES,","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","10","(3) AVOID IMMOKALEE, CLEWISTON, PALM BEACH COUNTY, GLADES,","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","15","        OKEECHOBEE AIRPORTS AND UNCHARTED AIRSTRIP/HOUSING AREA AT","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","15","OKEECHOBEE AIRPORTS AND UNCHARTED AIRSTRIP/HOUSING AREA AT","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","20","        27-20N 81-02W BY 3 NM BELOW 1500' AGL.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","20","27-20N 81-02W BY 3 NM BELOW 1500' AGL.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","25","(3)   ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","25","(4) ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","50","(4)   ROUTE CLEARANCE IS VALID ONLY PLUS OR MINUS 30 MINUTES FROM","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","50","(5) ROUTE CLEARANCE IS VALID ONLY PLUS OR MINUS 30 MINUTES FROM","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","55","        SCHEDULED TIME.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","55","SCHEDULED TIME.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","60","(5)   THIS ROUTE AUTHORIZED ONLY FOR AIRCRAFT SCHEDULED TO ENTER","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","60","(6) THIS ROUTE AUTHORIZED ONLY FOR AIRCRAFT SCHEDULED TO ENTER","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","65","        R-2901.","1","Modified","SOP_TEXT"
